run,status,model_size,mode,dtype,batch_size,context_length,warmup,warmup_mode,peak_allocated_mib,peak_reserved_mib,peak_active_mib,largest_snapshot_allocation_mib,failed_stage,memory_points,error
fallback_large_train_step_bf16_s2048,oom,large,train_step,bf16,1,2048,1,forward,23291.349,23494.0,23291.349,320.0,forward,"{""after_model_and_inputs"": {""allocated_mib"": 3806.544, ""reserved_mib"": 3870.0, ""active_mib"": 3806.544}, ""after_warmup"": {""allocated_mib"": 3814.669, ""reserved_mib"": 6840.0, ""active_mib"": 3814.669}}","CUDA out of memory. Tried to allocate 320.00 MiB. GPU 0 has a total capacity of 23.55 GiB of which 145.75 MiB is free. Including non-PyTorch memory, this process has 23.39 GiB memory in use. Of the allocated memory 22.75 GiB is allocated by PyTorch, and 202.65 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
fallback_large_train_step_fp32_s2048,oom,large,train_step,fp32,1,2048,1,forward,23123.364,23490.0,23123.364,320.0,forward,"{""after_model_and_inputs"": {""allocated_mib"": 3806.544, ""reserved_mib"": 3870.0, ""active_mib"": 3806.544}, ""after_warmup"": {""allocated_mib"": 3814.669, ""reserved_mib"": 5560.0, ""active_mib"": 3814.669}}","CUDA out of memory. Tried to allocate 320.00 MiB. GPU 0 has a total capacity of 23.55 GiB of which 155.75 MiB is free. Including non-PyTorch memory, this process has 23.38 GiB memory in use. Of the allocated memory 22.57 GiB is allocated by PyTorch, and 382.62 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
fallback_xl_train_step_bf16_s1024,oom,xl,train_step,bf16,1,1024,1,forward,23345.357,23518.0,23345.357,128.0,forward,"{""after_model_and_inputs"": {""allocated_mib"": 13124.963, ""reserved_mib"": 13126.0, ""active_mib"": 13124.963}, ""after_warmup"": {""allocated_mib"": 13133.088, ""reserved_mib"": 20162.0, ""active_mib"": 13133.088}}","CUDA out of memory. Tried to allocate 128.00 MiB. GPU 0 has a total capacity of 23.55 GiB of which 121.75 MiB is free. Including non-PyTorch memory, this process has 23.42 GiB memory in use. Of the allocated memory 22.80 GiB is allocated by PyTorch, and 172.64 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
fallback_xl_train_step_fp32_s1024,oom,xl,train_step,fp32,1,1024,1,forward,23245.982,23536.0,23245.982,128.0,forward,"{""after_model_and_inputs"": {""allocated_mib"": 13124.963, ""reserved_mib"": 13126.0, ""active_mib"": 13124.963}, ""after_warmup"": {""allocated_mib"": 13133.088, ""reserved_mib"": 13858.0, ""active_mib"": 13133.088}}","CUDA out of memory. Tried to allocate 128.00 MiB. GPU 0 has a total capacity of 23.55 GiB of which 119.75 MiB is free. Including non-PyTorch memory, this process has 23.42 GiB memory in use. Of the allocated memory 22.68 GiB is allocated by PyTorch, and 299.01 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
xl_forward_bf16_s128,success,xl,forward,bf16,1,128,1,forward,19587.445,19798.0,19587.445,100.0,,"{""after_model_and_inputs"": {""allocated_mib"": 13124.676, ""reserved_mib"": 13126.0, ""active_mib"": 13124.676}, ""after_warmup"": {""allocated_mib"": 13132.801, ""reserved_mib"": 19798.0, ""active_mib"": 13132.801}}",
xl_forward_bf16_s2048,success,xl,forward,bf16,1,2048,1,forward,21021.682,22032.0,21021.682,512.0,,"{""after_model_and_inputs"": {""allocated_mib"": 13125.291, ""reserved_mib"": 13126.0, ""active_mib"": 13125.291}, ""after_warmup"": {""allocated_mib"": 13133.416, ""reserved_mib"": 21520.0, ""active_mib"": 13133.416}}",
xl_forward_fp32_s128,success,xl,forward,fp32,1,128,1,forward,13154.051,13168.0,13154.051,100.0,,"{""after_model_and_inputs"": {""allocated_mib"": 13124.676, ""reserved_mib"": 13126.0, ""active_mib"": 13124.676}, ""after_warmup"": {""allocated_mib"": 13132.801, ""reserved_mib"": 13168.0, ""active_mib"": 13132.801}}",
xl_forward_fp32_s2048,success,xl,forward,fp32,1,2048,1,forward,15305.682,15858.0,15305.682,512.0,,"{""after_model_and_inputs"": {""allocated_mib"": 13125.291, ""reserved_mib"": 13126.0, ""active_mib"": 13125.291}, ""after_warmup"": {""allocated_mib"": 13133.416, ""reserved_mib"": 15858.0, ""active_mib"": 13133.416}}",
xl_train_step_bf16_s128,oom,xl,train_step,bf16,1,128,1,forward,23428.456,23626.0,23428.456,100.0,backward,"{""after_model_and_inputs"": {""allocated_mib"": 13124.676, ""reserved_mib"": 13126.0, ""active_mib"": 13124.676}, ""after_warmup"": {""allocated_mib"": 13132.801, ""reserved_mib"": 19798.0, ""active_mib"": 13132.801}, ""after_forward"": {""allocated_mib"": 20462.102, ""reserved_mib"": 20496.0, ""active_mib"": 20462.102}}","CUDA out of memory. Tried to allocate 100.00 MiB. GPU 0 has a total capacity of 23.55 GiB of which 83.75 MiB is free. Including non-PyTorch memory, this process has 23.46 GiB memory in use. Of the allocated memory 22.78 GiB is allocated by PyTorch, and 224.54 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
xl_train_step_bf16_s2048,oom,xl,train_step,bf16,1,2048,1,forward,23253.424,23318.0,23253.424,512.0,forward,"{""after_model_and_inputs"": {""allocated_mib"": 13125.291, ""reserved_mib"": 13126.0, ""active_mib"": 13125.291}, ""after_warmup"": {""allocated_mib"": 13133.416, ""reserved_mib"": 21520.0, ""active_mib"": 13133.416}}","CUDA out of memory. Tried to allocate 512.00 MiB. GPU 0 has a total capacity of 23.55 GiB of which 321.75 MiB is free. Including non-PyTorch memory, this process has 23.22 GiB memory in use. Of the allocated memory 22.71 GiB is allocated by PyTorch, and 64.70 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
xl_train_step_fp32_s128,oom,xl,train_step,fp32,1,128,1,forward,23476.921,23626.0,23476.921,100.0,backward,"{""after_model_and_inputs"": {""allocated_mib"": 13124.676, ""reserved_mib"": 13126.0, ""active_mib"": 13124.676}, ""after_warmup"": {""allocated_mib"": 13132.801, ""reserved_mib"": 13168.0, ""active_mib"": 13132.801}, ""after_forward"": {""allocated_mib"": 14504.09, ""reserved_mib"": 14510.0, ""active_mib"": 14504.09}}","CUDA out of memory. Tried to allocate 100.00 MiB. GPU 0 has a total capacity of 23.55 GiB of which 33.75 MiB is free. Including non-PyTorch memory, this process has 23.50 GiB memory in use. Of the allocated memory 22.91 GiB is allocated by PyTorch, and 141.96 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
xl_train_step_fp32_s2048,oom,xl,train_step,fp32,1,2048,1,forward,22938.018,23540.0,22938.018,512.0,forward,"{""after_model_and_inputs"": {""allocated_mib"": 13125.291, ""reserved_mib"": 13126.0, ""active_mib"": 13125.291}, ""after_warmup"": {""allocated_mib"": 13133.416, ""reserved_mib"": 15858.0, ""active_mib"": 13133.416}}","CUDA out of memory. Tried to allocate 512.00 MiB. GPU 0 has a total capacity of 23.55 GiB of which 105.75 MiB is free. Including non-PyTorch memory, this process has 23.43 GiB memory in use. Of the allocated memory 22.40 GiB is allocated by PyTorch, and 601.98 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
